sources,id,title,DATE,location,Latitude,Longitude,graphic,associations,ownership type,labour type,companies,summary,approval_stage,permitting_stage,commodity,indigenous_perspective,analysis,financing,jobs,promises,time
"""src2"", ""src3""",SP01,LNG Canada Export Terminal,9/11/2025,"Haisla Nation, BC",54.02390353,-128.6844742,FALSE,"""asc1""","""own1""","""lab1""","Shell, Petronas, PetroChina, Mitsubishi Corporation and KOGAS; Shell - Shell Canada (“Shell”) is a subsidiary of Netherlands-based Royal Dutch Shell plc (RDS); full ownership info here. Petronas - Petroleum Nasional or National Petroleum, based in Malaysia, owned by Malaysian govt; Petrochina -  holdings - acc to Wikipedia, Chinese oil and gas company and is the listed arm of state-owned China National Petroleum Corporation (CNPC), headquartered in Dongcheng District, Beijing; Mitsubishi Corporation is a Japanese integrated trading and investment company that develops and operates businesses across multiple industries together with its global network; KOGAS is a Korean natural gas company.","Kitimat; doubling production of liquefied natural gas to 14 million tonnes annually, according to reports. From Woodward: ""Beyond the significant climate risks — LNG terminals in British Columbia are meant to export gas from the Montney Play — a globally recognized  “carbon bomb” — there are economic risks. The global market for gas faces a major glut — with a fivefold increase in supply coming online over the next three years. Researchers at the Institute for Energy Economic and Financial Analysis question who will purchase the gas that could flood the market; LNG Canada recently began exporting liquefied natural gas at its terminal in Kitimat, BC, representing the country’s first LNG export terminal, and to date, the largest private sector investment  in Canadian history. The company’s owners (Shell, Petronas, PetroChina, Mitsubishi and the Korean Gas Corporation) have plans to expand the site, known as Phase 2, and a final investment decision is expected this year."" ",Referred to MPO,Pre-Construction Stage: Front end Design and Engineering Contract awarded as of Sept. 2025; Impact Assessment issued 2022 - Reviewed as changes to initial impact assessment of LNG Canada facility; Certificate Issued by BCER June 18 2015 by BCER. See press announcement.,"LNG Export: Primairly North-East Asian markets, China, Japan, South Korea","In 2015, according to BCER final decision, ""Haisla Nation has entered into an impact management and benefit agreement with the Proponent."" According to Reuters, ""own a 50.1% equity stake in the $4-billion Cedar LNG export project near the town of Kitimat, British Columbia. Calgary-based Pembina Pipeline(PPL.TO), opens new tab owns the remainder."" + ""One crucial component was a 2018 deal that gave the Haisla access to 400 million cubic feet per day of capacity on the 670-km Coastal GasLink pipeline that brings natural gas to the larger Shell-led (SHEL.L), opens new tab LNG Canada facility.""","According to one report: LNG Canada has yet to make a final investment decision on Phase 2 SO this designation could be signaling to banks and private equity firms that the project is being prioritized by federal govt, i.e. derisking; on Aug. 1, the company awarded a new engineering contract to the JGC-Fluor joint venture—the same team behind Phase 1; The project already hold key permits and approvals, including the provincial environmental assessment certificate. G&M reports that, ""LNG Canada’s co-owners are expected to make a final investment decision in 2026 on whether to forge ahead with a Phase 2 expansion, which would double the plant’s total capacity to 28 million tonnes a year.""",LNG PHASE 1 already received contributions through the Strategic Innovation Fund and exemptions from steel import tariffs ,No Claim Presently Found ,Double Present Export Capacity,0:00
"""src2"", ""src3""",SP02,Darlington New Nuclear Project,9/11/2025,"Michi Saagiig Anishinaabeg, Williams Treaties, Gunshot Treaties, Williams Treaties Settlement Agreement",43.86807616,-78.72364747,FALSE,"""asc1""","""own2""","""lab2""","OPG (ON Power Generator), Canada Growth Fund Inc., Building Ontario Fund","In Clarington. Criticism: ""An independent study released last week by the Ontario Clean Air Alliance found that the Darlington SMRs will cost up to eight times as much as onshore wind, almost six times as much as utility-scale solar, and 2.7 times as much offshore wind in the Great Lakes after factoring in the federal tax credit. The analysis by Hinesburg, Vermont-based Energy Futures Group “used data from Ontario’s Independent Electricity System Operator (IESO) but used realistic real-world capital costs and performance measures to develop a more accurate comparison of the cost of nuclear and renewable power options,” OCAA writes.""",Referred to MPO,"Pre-Construction Stage: Preparation license approved in 2021; April 4 2025 - Construction approval - ""Commission’s decision to issue a power reactor construction licence to Ontario Power Generation Inc. (OPG) to construct 1 General Electric Hitachi BWRX-300 reactor."" May 8 2025 - Provincial approval. Federal approval obtained one month earlier by Canadian Nuclear Safety Commission. ",Nuclear Energy: Ontario Grid,,-,-,"18,000 jobs; OPG: ""Citing Conference Board of Canada figures, OPG said the four SMRs will contribute $38.5 billion to Canada’s GDP over 65 years and sustain an average of about 3,700 jobs per year, including 18,000 per year during construction.""",$500 Million/Year in Onrario Economic Benefits,0:00
"""src2"", ""src3""",SP03,Contrecoeur Terminal Container Project,9/11/2025,"Haudenosaunee, Mohawk Nation ",45.82946919,-73.28051763,FALSE,"""asc2""","""own6""","""lab5""","Montreal Port Authority, DP World (U.A.E) opperations; Built by private contractors: ""The contract, worth $609 million, for all water works, including the listed preparatory work, has been awarded to the CTCGP consortium (Contrecœur Terminal Constructors Grand Project), composed of Pomerleau (60 per cent) and Aecon (40 per cent)."" Acc. to G&M: ""Global logistics giant DP World Ltd. has been tapped to build and run the Port of Montreal’s new Contrecoeur container terminal.""",https://www.port-montreal.com/en/the-port-of-montreal/projects/terminal-in-contrecoeur,Referred to MPO,"Pre-Construction Stage:  October 9, 2025, the Port of Montreal began preparatory work for the expansion and awarded the contract for in-water works of the future container terminal to the CTCGP consortium; Construction contract issues Sept 8 2025: ""Port Authority announced it finalized and submitted an application to the Department of Fisheries and Oceans for a permit required to complete the in-water work, part of the environmental assessment process. It expects to receive a response from federal authorities in the coming weeks."" March 1 2021, fed EA approved with 330 conditions.","Container Shipping: Europe and Asia Markets, primairly raw goods, new facility meant to accomodate mineral/gas resources",-,Critique: https://www.winnipegfreepress.com/arts-and-life/life/greenpage/2025/10/26/residents-say-port-of-montreal-expansion-in-contrecoeur-unnecessary-harmful,"Acc. to G&M: The final financing package for Contrecoeur has yet to be hammered out. Ottawa and Quebec have already pledged $150-million and $130-million respectively toward the estimated $1.6-billion project, pitched as a key piece of transportation infrastructure needed to serve markets in Quebec, Ontario and the U.S. Midwest. The Canada Infrastructure Bank has also committed a $300-million loan.","8,000 jobs during construction, 1,200 jobs during operation",$140 Million/Year in National Economic Benefits,0:00
"""src2"", ""src3""",SP04,McIlvenna Bay Foran Copper Mine Project,9/11/2025,"Michif Piyii (Métis), Cree",54.64175955,-102.8063986,FALSE,"""asc3"", ""asc4""","""own1""","""lab4""","McIlvenna Bay Operating Ltd, subsidiary of Foran Mining Companies. Largest shareholders of Foran: U.S.: Agnico Eagle Mines (17%); Canada: Fairfax (17%); CAN: Public sector pension investment (13%) ","Proposing the construction, operation, decommissioning and abandonment of a base and precious metals underground mine and surface mineral processing facility located 65 kilometres southwest of Creighton, Saskatchewan. As proposed, the project would produce copper and zinc ore concentrates containing gold and silver up to a total production rate of 4,200 tonnes per day. Concentrate products from the processing plant are proposed to be transported by truck to a third-party rail loading facility to be distributed for smelting. The lifespan of the project is expected to be up to 40 years.; From company website: ""With Probable Mineral Reserves of 29.7 Mt containing 793 million pounds of copper and 1.4 billion pounds of zinc included in a Mineral Resource of 39 million Indicated tonnes grading 2.02% CuEq for 1.0 billion pounds of copper and 1.9 billion pounds of zinc and 5 million Inferred tonnes grading 1.8% CuEq for 93 million pounds of copper and 260 million pounds of zinc.""",Referred to MPO,"Construction Stage: 56% complete as of Sept. 2025; July 24, 2023: ""ministerial approval under Section 15 of the Environmental Assessment Act was granted to the McIlvenna Bay Project."" Northern Miner reports that the fast track was for feasibilty study, but what's this? And this?","Critical Minerals: Copper, Zinc, Gold, Silver; ",Collaboration Agreement Signed between Foran and Peter Ballantyne Cree Nation (2023); Metis Nation letter to Canada re whether it meets the definition for a designated project under the federal EA.,-,"According to Northern Miner: Earlier this month, Prime Minister Mark Carney included the feasibility-stage McIlvenna Bay on a fast-track list for projects of national significance under the Major Projects Office. Foran has also drawn the interest of Agnico Eagle Mines (TSX, NYSE: AEM), which in May increased its stake in the company to 13.5% by investing $90 million, as well as a $350 million private placement that included $156 million from the federally owned Canada Growth Fund.""",400 jobs during operation,$626 Million/Year in Cash Flow,0:00
"""src2"", ""src3""",SP05,Red Chris Porphyry Copper-Gold Project,9/11/2025,"Tāłtān Konelīne (Tahltan), Dënéndeh, ",57.73291072,-129.7675452,FALSE,"""asc3""","""own1""","""lab4""","Newmont, Imperial Metals Corporation","From BCER: ""The Red Chris Porphyry Copper-Gold Mine (Red Chris) is an open pit mining operation that produces copper, gold, and silver. The Red Chris Environmental Assessment Certificate (Certificate) is held by Newcrest Red Chris Mining Limited (NRCML), a wholly owned indirect subsidiary of Newmont Corporation (Newmont). Red Chris is located in northwest British Columbia, approximately 80 kilometres south of Dease Lake and 18 kilometres south of the Village of Iskut. Red Chris received Certificate #M05-02 in 2005 and has been operational since 2015. There have been five amendments to the Certificate since it was issued.""",Referred to MPO,"Certification Issued ; see also. Feds actually play zero role here, but as CBC explains, this is about a signal the feds are sending about ""transforming this part of BC.""",Critical Minerals: Copper; Asia-Pacific trading partners,"Acc to BC: ""Under a consent agreement between the Tahltan Central Government (TCG) and the Province, TCG is carrying out its own assessment and must also consent to the project."" From Red Chris: ""NRCML manages Red Chris in close partnership with Tahltan Nation through an Impact Benefit and Co-Management Agreement (IBCA).  The IBCA ensures that Tahltan expertise, perspectives, and values guide the operation. Since production began in 2015, Red Chris has become a key economic pillar in Tahltan territory. The mine employs approximately 220 Tahltans and generates approximately $100 million annually in business with the Tahltan Nation Development Corporation (TNDC).  In addition, the mine pays annual royalties to the Tahltan Heritage Trust and contributes mineral tax revenue to the Province of British Columbia (BC) which is shared directly with the Tahltan Nation.""","Backdrop is disastrous Mount Polley tailings pond spill, owned by Imperial Metals and its ongoing aftermath.",-,"1,500 jobs during operation",$33B in Private-Sector Capital,0:00
"""src2"", ""src3""",SP06,Sisson Mine,11/13/2025,Wolastoqey (Maliseet,46.983571674,-67.367340853,FALSE,"""asc3""","""own1""","""lab4""","Northcliff Resources Ltd., Todd Minerals Ltd.; According to Sisson website: Northcliff Resources Ltd., 88.5% controlling interest; remaining 11.5% owned by Todd Minerals Ltd., a subsidiary of the Todd Corporation of New Zealand.","Acc. to CBC, Sisson is a mine that is getting $$ from US DOD: ""an announcement by Northcliff Resources in early May that it was awarded $20.7 million from the U.S. Defence Department and a conditional $8.2 million from the Canada government to help develop tungsten production at the Sisson Mine project north of Fredericton.""",Referred to MPO,Pre-Construction Stage: Certification issued by feds in 2017. Source: New Brunswick Environmental Impact Assessment (2015); Federal Environmental Impact Assessment (2017); Metals and Diamond Mining Effluent Regulations Schedule 2 Amendment (MDMER) authorisation (2019);  Sisson Fisheries Act Authorisation and Off-setting/Fish Habitat Compensation Plan (2020); Construction commencement timeline extended to December 2025 (2022); EIA Completed in 2016 and 2017,"Critical Minerals: Tungsten, Molybdenum; North American, European and Asian markets",-,Outdated EIA,-,300 Permanent Employees (2013 estimate to be updated in 2026),No Claim Presently Found,0:00
"""src2"", ""src3""",SP07,Crawford Nickel Project,11/13/2025,"Mattagami, Matachewan and Flying Post",48.8383238331020,-81.3560633327230,FALSE,"""asc3""","""own5""","""lab5""","Canada Nickel, Taykwa Tagamou Nation (TTN)","Canada Nickel Company is proposing the construction, operation, decommissioning and abandonment of an open-pit nickel-cobalt mine and on-site metal mill, located 42 kilometres north of Timmins, Ontario.",Referred to MPO,Planning Stage: Completing Stage 2 of the federal permitting process; Impact Assessment in progress; Construction to begin 2026,"Critical Minerals: Nickle, lithium, graphite, cobalt, copper and rare earth elements; Export market to North America","IBAs being developed; three FNs have ""inside track bidding"" for contracts","Two factors are potentially interesting to analyze: (1) the claim that this is the second-largest nickel reserve globally and (2) the company's claim that ""Tailings and waste rock from ultramafic nickel deposits can store CO2—Crawford’s feasibility study includes the ability to store 1.5 million tonnes annually, making it a net negative contributor to the global carbon footprint""",-,"1,000 direct jobs, 3,000 indirect jobs","$70B to Canada's GDP over 40+ years; $16 billion in fed / prov tax revenue; $16 billion in job income (1,000 direct and 3,000 indirect jobs)",0:00
"""src2"", ""src3""",SP08,Ksi Lisims,11/13/2025,"Nisga'a Treaty territory, and Gitga’at First Nation, Gitxaała Nation, Kitselas First Nation, Kitsumkalum First Nation, Lax Kw’alaams Band, Metlakatla First Nation, Haida Nation, and Gitxsan Wilp Denimget, Tsihl Gwellii Laxwiiyip",55.0311676499456,-130.1858874059640,FALSE,"""asc1""","""own1""","""lab4""","Western LNG (funded by Blackstone and Apollo Global Management), Total Energies, Partnership with Nisga’a government and Rockies LNG. The PRGT pipeline is jointly owned by the Nisga'a government and Western LNG.The floating terminal will be built by Samsung Heavy Industries. Western LNG has an offtake agreement with Shell to purchase 2 million tonnes of LNG per year (Western LNG, 2024); Nisga'a has no equity stake, assets are entirely owned by Western LNG which is based in Texas and financed by private equity firms, with Blackstone providing the anchor investment.  More on US private equity ownership:  Furthermore, floating LNG terminals will be constructed by Samsung overseas. ","Ksi Lisims is a proposed floating LNG terminal on Pearse Island that will export LNG to Asian markets. It wil cost $10B and have an export capacity of 12 mt/year, which will make it the second largest LNG plant in Canada. It is connected to the contentious PRGT pipeline with an expired environmental certificate and sparking opposition from Gitanyow hereditary leadership, from Gitxsan youth and communities, and community members within Nisga’a. The PRGT pipeline is jointly owned by the Nisga'a government and Western LNG. As pointed towards by Gitanyow hereditary chiefs, Western LNG is financially backed by billionaire MAGA doners and others with ties to trump (stopprgt). Neither Ksi Lisims or LNG have a final investment decision yet. ",Referred to MPO,"Pre-Construction Stage: Assessments completed and permits issued (2025); Certificate issued by BC EAO on Sep 15, 2025, after conducting the assessment on behalf of both provincial and federal governments. [Federal government released Impacted Assessment decision in Sept, 2025.]",LNG: Export LNG to Asia ,"Consent from Nisga'a (which owns half of the pipeline project), Gitga’at First Nation, Kitselas First Nation. No decision from Gitxaala Nation. Kitsumkalum First Nation, Lax Kw’alaams Band, Metlakatla First Nation and Haida Nation state they do not consent. Source: BC EAO Reasons for Decision . Opposition: Gitanyow Hereditary Chiefs (filed for judicial review of BC EAO's ruling that they did not need to be consulted for LNG; ), and the pipeline project  is facing opposition from Gitanyow hereditary chiefs (including an IPCA declaration and the Flying Frogs camp), Gitxsan huwilps and community members (including a legal challenge and Dog Sanctuary a few dozen meters from the PRGT right of way). Recently, The Lax Kw’alaams Band and the Metlakatla First Nation filed separate judicial review applications in Federal Court for the LNG project's environmental approval. Protest :  The Lax’yip Firekeepers: http://laxyip.com/, Donations: E-transfers to firekeepers@laxyip.com; Wilp Aasosxw: http://laxyip.com/wilp-aasosxw, Donations: E-transfers to landbackcc@gmail.com; Flying Frogs - https://flyingfrogsawakened.org/, Donations: E-transfers to deborahgood3@gmail.com; ","LNG is contentious because Nisga’a Nation champions it. Extractive projects are pitting nations against each other, undermining traditional diplomatic ties. As stated in a recent Yellowhead Institute summary report, ""This pattern reflects broader systemic priorities: Indigenous economic participation is encouraged when it aligns with resource development, but when communities assert sovereignty over land or propose alternative economic models, they encounter resistance"". In relation to the project, the report also notes several economic risks including the projected global LNG supply glut and risk of stranded assets. The authors also note that ""At the time of writing, few long-term contracts are secured for shipping, requiring shippers to rely on volatile short-term contracts,"" posing a significant investment risk. Metlakatla First Nation alleged in its Oct. 14 court filing ""that the decision relied on 'speculative economic concepts' to justify the project’s adverse impacts, while ignoring 'mounting evidence' that it is not economically feasible."" The filing noted the two issues of a potential supply glut and lack of buyers, as well as its use of 'unproven and untested' floating technology. It also alleged that province understated the strength of the Coast Tsimshian claim to the Mylor Peninsula",-,800 jobs during construction; 200 jobs during operation,$4B/Year in National Economic Benefits; $17 Billion over projects lifetime,0:00
"""src2"", ""src3""",SP09,Noveau Monde Graphite Mine [Matawinie Mine &  Bécancour Battery Materials Plant],11/13/2025,-,46.673302036,-73.910834112,FALSE,"""asc3""","""own1""","""lab4""","Nouveau Monde Graphite (NMG); Shareholders: GM, Panasonic, Mitsui",Nouveau Monde Graphite is developing an open pit graphite mine that will be integrated with a planned Battery Material Plant to produce spherical graphite for batteries and other advanced manufacturing applications. O,Referred to MPO,Assessment Stage: Updated feasaibility study completed Nov 2025 for phase 2,"Critical Minerals: Extraction of anode material for lithium batteries from mine, processed in battery plant for international sale",Dec. 2024: Manawan Atikamekw sign impact benefit agreement with NMG,-,,"Over 1,000 jobs",$1.8B in investment,0:00
,SP11,Wind West Atlantic Power [Eastern Power Partnership],06-01-2021,Mi'kmaqi,44.494605930,-60.575183892,FALSE,"""asc1""","""own6""","""lab4""","Govt. NS, Govt. Canada, Seeking Private Developers","What Govt of NS wants: ""2. Revive proposed Clean Electricity Investment Tax Credits (ITCs) that would support the EEP transmission components and ensure Clean Technology ITCs are available for the timelines of offshore wind development; 3. Confirm availability of Canada Infrastructure Bank’s (CIB) low-interest financing for transmission and offshore wind development, similar to that done with NS-NB transmission and onshore wind, and extend time horizons; 4. Support early engagement with Mi’kmaq to ensure interested Mi’kmaq communities with respect to Federal support programs for investment; and 5. Provide upfront and additional support (e.g. through ITCs, tax incentives or financial programs) to enable upfront investments in ports, labour force or infrastructure.""",Refered to MPO (transformative strategies),Pre-Construction Phase: Searching for contractors Fall 2025,Wind Energy,TBD. Report argues for Indigenous consent however no specific action specified. ,-,"NS invested ""$1.8 billion in the Maritime Link, and have developed and agreed to spend another $0.8 billion on a much-expanded Nova Scotia New Brunswick Intertie.""","30,000 direct jobs",Export energy to other provinces ,0:00
